"Dato";"Forklaring";"Rentedato";"Uttak";"Innskudd";"Category"
"26.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 26.06 kl. 17.05";"27.06.2019";"287,80";"";"Groceries"
"23.06.2019";"Ubetjent Varekjøp Circle k Vestby Svarthagsvei Vestby Dato 23.06 kl. 16.11";"24.06.2019";"612,90";"";"Transport"
"21.06.2019";"Varekjøp Clas Ohl 2852 Vitaminveien Oslo Dato 21.06 kl. 17.43";"24.06.2019";"699,00";"";"Home & Interior"
"21.06.2019";"Varekjøp Anton Sport Solheimvn.85 Lørenskog Dato 21.06 kl. 18.58";"24.06.2019";"401,00";"";"Gifts"
"21.06.2019";"Varekjøp Storo Storsent. Vitaminveien Oslo Dato 21.06 kl. 18.08";"24.06.2019";"30,00";"";"Transport"
"21.06.2019";"Varekjøp Xxl Sport Og Vi Gunnar Schje Oslo Dato 21.06 kl. 18.03";"24.06.2019";"799,00";"";"Sports & Activities"
"21.06.2019";"Varekjøp Xxl Sport Og Vi Gunnar Schje Oslo Dato 21.06 kl. 17.11";"24.06.2019";"8.001,00";"";"Sports & Activities"
"21.06.2019";"Varekjøp Tilbords Storo Vitaminveien Oslo Dato 21.06 kl. 17.57";"24.06.2019";"595,00";"";"Gifts"
"19.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 19.06 kl. 22.52";"20.06.2019";"55,90";"";"Groceries"
"19.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 19.06 kl. 22.29";"20.06.2019";"383,40";"";"Groceries"
"18.06.2019";"Varekjøp G-sport Storo Vitaminveien Oslo Dato 18.06 kl. 19.39";"19.06.2019";"57,00";"";"Sports & Activities"
"18.06.2019";"Varekjøp Storo Storsent. Vitaminveien Oslo Dato 18.06 kl. 19.44";"19.06.2019";"30,00";"";"Transport"
"17.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 17.06 kl. 17.45";"18.06.2019";"289,88";"";"Groceries"
"16.06.2019";"Varekjøp Sagene Frukt Ma Arendals Gat Oslo Dato 16.06 kl. 16.22";"17.06.2019";"222,00";"";"Groceries"
"15.06.2019";"Varekjøp 130 Jernia Storo Oslo Dato 15.06 kl. 18.26";"17.06.2019";"399,00";"";"Home & Interior"
"15.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 15.06 kl. 13.31";"17.06.2019";"1.421,12";"";"Groceries"
"15.06.2019";"Varekjøp Storo Storsent. Vitaminveien Oslo Dato 15.06 kl. 18.27";"17.06.2019";"10,00";"";"Transport"
"15.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 15.06 kl. 17.09";"17.06.2019";"161,70";"";"Groceries"
"15.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 15.06 kl. 17.31";"17.06.2019";"31,50";"";"Groceries"
"14.06.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 14.06 kl. 13.20";"14.06.2019";"899,30";"";"Home & Interior"
"14.06.2019";"Varekjøp A. Strøm-larsen Vogts Gt 53 Oslo Dato 14.06 kl. 13.42";"14.06.2019";"1.468,28";"";"Groceries"
"14.06.2019";"Varekjøp Ikea Furuset Strømsvn 303 Oslo Dato 14.06 kl. 12.47";"14.06.2019";"600,00";"";"Home & Interior"
"13.06.2019";"Varekjøp Sagene Frukt Ma Arendals Gat Oslo Dato 13.06 kl. 17.24";"14.06.2019";"40,00";"";"Groceries"
"13.06.2019";"Varekjøp Kjell &co No003 Vitaminveien Oslo Dato 13.06 kl. 14.15";"13.06.2019";"551,00";"";"Home & Interior"
"12.06.2019";"Varekjøp Lampehuset Bely Sjøgt 6 Bodø Dato 12.06 kl. 18.40";"13.06.2019";"1.397,00";"";"Home & Interior"
"12.06.2019";"Varekjøp Clas Ohl 2852 Vitaminveien Oslo Dato 12.06 kl. 19.16";"13.06.2019";"69,90";"";"Home & Interior"
"12.06.2019";"Varekjøp Bm Skattum Brob Haraldrudvei Oslo Dato 12.06 kl. 17.44";"13.06.2019";"405,30";"";"Home & Interior"
"12.06.2019";"Varekjøp Lampehuset Alna Smalvollvn 6 Oslo Dato 12.06 kl. 14.23";"12.06.2019";"1.395,00";"";"Home & Interior"
"12.06.2019";"Varekjøp Clas Ohl 2843 Strømsveien Oslo Dato 12.06 kl. 13.28";"12.06.2019";"332,50";"";"Home & Interior"
"12.06.2019";"Overføring Innland  11356  Kreditering Kortholder LøvenskioldHan Oslo";"12.06.2019";"";"198,00";"Home & Interior"
"12.06.2019";"Varekjøp Ikea Furuset Strømsvn 303 Oslo Dato 12.06 kl. 12.57";"12.06.2019";"3.968,00";"";"Home & Interior"
"11.06.2019";"Varekjøp Elektroimportør Billingstads Billin Dato 11.06 kl. 11.11";"11.06.2019";"499,00";"";"Home & Interior"
"11.06.2019";"Varekjøp Miele AS Nesbruv. 71 Rud Dato 11.06 kl. 10.47";"11.06.2019";"28.904,00";"";"Home & Interior"
"10.06.2019";"Visa  100121  Iz :thorbjornrud h";"12.06.2019";"90,00";"";"Food & Drinks"
"10.06.2019";"Varekjøp Norgesglasset Glassverksve Jevnaker Dato 10.06 kl. 12.59";"11.06.2019";"25,00";"";"Food & Drinks"
"10.06.2019";"Ubetjent Varekjøp Circle k Abilds Lambertseter Oslo Dato 10.06 kl. 17.50";"11.06.2019";"612,87";"";"Transport"
"08.06.2019";"Visa  100021  Iz :audiatur Bokha";"12.06.2019";"130,00";"";"Food & Drinks"
"08.06.2019";"Varekjøp Varnaveien Mine Midtveien 1 Moss Dato 08.06 kl. 14.31";"11.06.2019";"721,00";"";"Groceries"
"08.06.2019";"Varekjøp Extra Jeløy Tronvikveien Moss Dato 08.06 kl. 11.28";"11.06.2019";"317,30";"";"Groceries"
"08.06.2019";"Varekjøp Cb Varnaveien Varnavn. 3 Moss Dato 08.06 kl. 15.06";"11.06.2019";"4.585,50";"";"Home & Interior"
"08.06.2019";"Varekjøp Espos Nr.2 Konsertbet. Drammen Dato 08.06 kl. 19.46";"11.06.2019";"215,00";"";"Food & Drinks"
"08.06.2019";"Varekjøp Espos Nr.2 Konsertbet. Drammen Dato 08.06 kl. 21.07";"11.06.2019";"175,00";"";"Food & Drinks"
"07.06.2019";"Visa  100021  Iz :spiskammerset";"12.06.2019";"220,00";"";"Food & Drinks"
"07.06.2019";"Varekjøp Mcdonald's 052 Drøbakveien Vestby Dato 07.06 kl. 16.41";"11.06.2019";"221,00";"";"Food & Drinks"
"07.06.2019";"Varekjøp Espos Nr.2 Konsertbet. Drammen Dato 07.06 kl. 22.25";"11.06.2019";"180,00";"";"Food & Drinks"
"07.06.2019";"Varekjøp Espos Nr.2 Konsertbet. Drammen Dato 07.06 kl. 23.10";"11.06.2019";"130,00";"";"Food & Drinks"
"07.06.2019";"Varekjøp Espos Nr.2 Konsertbet. Drammen Dato 07.06 kl. 20.10";"11.06.2019";"175,00";"";"Food & Drinks"
"07.06.2019";"Varekjøp Vinmonopolet Sandaker Oslo Dato 07.06 kl. 14.43";"07.06.2019";"383,80";"";"Food & Drinks"
"06.06.2019";"Varekjøp Kanarya AS Olav Vs Gate Oslo Dato 06.06 kl. 20.21";"07.06.2019";"94,00";"";"Food & Drinks"
"05.06.2019";"Overføring Innland  208 Turan Renhold Nettgiro";"05.06.2019";"4.625,00";"";"Home & Interior"
"04.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 04.06 kl. 20.58";"05.06.2019";"219,50";"";"Groceries"
"04.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 04.06 kl. 17.32";"05.06.2019";"445,17";"";"Groceries"
"03.06.2019";"Varekjøp Staples, Oslo Breivollv.25 Oslo Dato 03.06 kl. 17.18";"04.06.2019";"765,50";"";"Home & Interior"
"03.06.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 03.06 kl. 17.08";"04.06.2019";"491,06";"";"Groceries"
"02.06.2019";"Overføring  3709033638 Lønn Juni";"03.06.2019";"";"130239,00";"Income"
